,yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary,RBI,GIDP,IBB,TB,SLG,OBP,OPS,WHIP,BABIP,RC,X1B,uBB,wOBA
421,2014,NL,ARI,ARI,W,5,162,81,64,98,N,N,N,N,615,5552,1379,259,47,118,398,1165,86,33,43,36,742,683,4.26,2,4,35,4333,1467,154,469,1278,101,147,0.983,Arizona Diamondbacks,Chase Field,2073730,102,102,ARI,ARI,ARI,97861500,573,115,31,2086,0.375720461,0.301874274,0.677594735,1.340410801,0.292915215,622.9952941,955,367,0.297934311
422,2014,NL,ATL,ATL,E,2,162,81,79,83,N,N,N,N,573,5468,1316,240,22,123,472,1369,95,33,43,27,597,547,3.38,5,13,54,4365,1369,121,472,1301,85,143,0.986,Atlanta Braves,Turner Field,2354305,99,99,ATL,ATL,ATL,97609000,545,121,31,1969,0.360095099,0.304658902,0.664754001,1.265292096,0.29802648,592.6888889,931,441,0.294795116
423,2014,AL,BAL,BAL,E,1,162,81,96,66,Y,N,N,N,705,5596,1434,264,16,211,401,1285,44,20,62,36,593,557,3.43,3,13,53,4384,1342,151,472,1174,87,156,0.986,Baltimore Orioles,Oriole Park at Camden Yards,2464473,100,100,BAL,BAL,BAL,103416000,681,112,29,2363,0.422265904,0.31123872,0.733504624,1.241332117,0.295696325,723.0456895,943,372,0.320621497
424,2014,AL,BOS,BOS,E,5,162,81,71,91,N,N,N,N,634,5551,1355,282,20,123,535,1337,63,25,68,52,715,653,4.01,3,7,36,4397,1458,154,482,1213,92,155,0.985,Boston Red Sox,Fenway Park II,2956089,102,101,BOS,BOS,BOS,139019929,601,138,36,2046,0.368582237,0.315501128,0.684083365,1.323629748,0.297369056,635.3828459,930,499,0.303048622
425,2014,AL,CHA,CHW,C,4,162,81,73,89,N,N,N,N,660,5543,1400,279,32,155,417,1362,85,36,60,38,758,687,4.29,3,6,36,4323,1468,140,557,1152,107,170,0.982,Chicago White Sox,U.S. Cellular Field,1650821,100,101,CHW,CHA,CHA,81830500,625,127,33,2208,0.398340249,0.30983823,0.708178479,1.405274115,0.306348425,673.1436242,934,384,0.310554357
426,2014,NL,CHN,CHC,C,5,162,81,73,89,N,N,N,N,614,5508,1315,270,31,157,442,1477,65,40,54,41,707,636,3.91,1,11,37,4390,1398,115,504,1311,103,137,0.983,Chicago Cubs,Wrigley Field,2652113,103,104,CHC,CHN,CHN,65522500,590,94,29,2118,0.38453159,0.299586435,0.684118025,1.29977221,0.295785441,625.4329412,857,413,0.300764628
427,2014,NL,CIN,CIN,C,4,162,81,76,86,N,N,N,N,595,5395,1282,254,20,131,415,1252,122,52,52,37,612,576,3.59,5,13,44,4338,1282,163,507,1290,72,120,0.988,Cincinnati Reds,Great American Ball Park,2476664,98,98,CIN,CIN,CIN,108217500,562,88,22,1969,0.364967563,0.296490931,0.661458493,1.237206086,0.28426772,575.1106713,877,393,0.292533606
428,2014,AL,CLE,CLE,C,3,162,81,85,77,N,N,N,N,669,5575,1411,284,23,142,504,1189,104,27,42,49,653,581,3.56,6,15,40,4405,1398,135,464,1450,116,139,0.981,Cleveland Indians,Progressive Field,1437393,97,97,CLE,CLE,CLE,82151899,644,126,24,2167,0.388699552,0.317179903,0.705879454,1.268104427,0.295597484,682.6459944,962,480,0.311383013
429,2014,NL,COL,COL,W,4,162,81,66,96,N,N,N,N,755,5612,1551,307,41,186,397,1281,85,48,48,48,818,770,4.84,1,4,24,4293,1528,173,531,1074,106,166,0.983,Colorado Rockies,Coors Field,2680329,115,116,COL,COL,COL,95403500,721,121,39,2498,0.445117605,0.326945127,0.772062732,1.438853948,0.325542571,809.8026294,1017,358,0.335248928
430,2014,AL,DET,DET,C,1,162,81,90,72,Y,N,N,N,757,5630,1557,325,26,155,443,1144,106,41,44,61,705,648,4.01,5,8,41,4362,1475,127,462,1244,101,153,0.983,Detroit Tigers,Comerica Park,2917209,105,104,DET,DET,DET,152855500,731,137,51,2399,0.426110124,0.330851408,0.756961533,1.33218707,0.319216758,790.0543389,1051,392,0.329348784
431,2014,AL,HOU,HOU,W,4,162,81,70,92,N,N,N,N,629,5447,1317,240,19,163,495,1442,122,37,55,36,723,657,4.11,7,3,31,4316,1437,139,484,1137,106,151,0.983,Houston Astros,Minute Maid Park,1751829,101,102,HOU,HOU,HOU,35116300,596,122,27,2084,0.382595924,0.309464611,0.692060536,1.335264133,0.29757607,635.5112757,895,468,0.305852481
432,2014,AL,KCA,KCR,C,2,162,81,89,73,N,Y,Y,N,651,5545,1456,286,29,95,380,985,153,36,53,47,624,565,3.51,3,14,53,4352,1386,128,440,1168,104,122,0.983,Kansas City Royals,Kauffman Stadium,1956482,105,104,KCR,KCA,KCA,74594075,604,131,22,2085,0.376014427,0.313526971,0.689541398,1.258731618,0.301640071,646.0860759,1046,358,0.304151258
433,2014,AL,LAA,ANA,W,1,162,81,98,64,Y,N,N,N,773,5652,1464,304,31,155,492,1266,81,39,60,54,630,590,3.58,3,13,46,4448,1307,126,504,1342,83,127,0.986,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3095935,96,95,LAA,ANA,ANA,121988250,729,112,42,2295,0.406050955,0.322147651,0.728198606,1.221447842,0.305484247,730.6347656,974,450,0.318912484
434,2014,NL,LAN,LAD,W,1,162,81,94,68,Y,N,N,N,718,5560,1476,302,38,134,519,1246,138,50,61,43,617,554,3.4,7,16,47,4394,1338,142,429,1373,107,145,0.983,Los Angeles Dodgers,Dodger Stadium,3782337,96,95,LAD,LAN,LAN,217014600,686,119,30,2256,0.405755396,0.332524664,0.73828006,1.206417843,0.317783566,740.3717717,1002,489,0.32498131
435,2014,NL,MIA,FLA,E,4,162,81,77,85,N,N,N,N,645,5538,1399,254,36,122,501,1419,58,21,35,39,674,613,3.78,3,16,42,4373,1481,114,458,1190,97,154,0.984,Miami Marlins,Marlins Park,1732283,103,104,MIA,FLO,MIA,41836900,614,143,49,2091,0.377573131,0.316538524,0.694111656,1.330208095,0.316402379,657.8738202,987,452,0.305509565
436,2014,NL,MIL,MIL,C,3,162,81,82,80,N,N,N,N,650,5462,1366,297,28,150,423,1197,102,43,73,37,657,594,3.67,3,9,45,4373,1386,167,431,1246,99,130,0.984,Milwaukee Brewers,Miller Park,2797384,102,103,MIL,ML4,MIL,101217000,617,135,32,2169,0.397107287,0.31059216,0.707699447,1.246512692,0.292870906,659.3612574,891,391,0.310731176
437,2014,AL,MIN,MIN,C,5,162,81,70,92,N,N,N,N,715,5567,1412,316,27,128,544,1329,99,36,53,44,777,728,4.57,2,7,38,4305,1588,147,408,1031,97,136,0.984,Minnesota Twins,Target Field,2250606,102,103,MIN,MIN,MIN,83762500,675,97,29,2166,0.389078498,0.323614691,0.712693189,1.390940767,0.309099663,693.2901325,941,515,0.314753196
438,2014,AL,NYA,NYY,E,2,162,81,84,78,N,N,N,N,633,5497,1349,247,26,147,452,1133,112,26,56,47,664,605,3.75,5,10,48,4359,1392,164,398,1370,92,107,0.984,New York Yankees,Yankee Stadium III,3401624,100,101,NYY,NYA,NYA,197543907,591,111,16,2089,0.380025468,0.306840714,0.686866182,1.23193393,0.281894934,632.4237687,929,436,0.303591783
439,2014,NL,NYN,NYM,E,3,162,81,79,83,N,N,N,N,629,5472,1306,275,19,125,516,1264,101,34,54,44,618,568,3.49,1,11,42,4391,1370,141,509,1303,104,158,0.983,New York Mets,Citi Field,2148808,94,95,NYM,NYN,NYN,85556990,602,112,42,1994,0.364400585,0.308248439,0.672649024,1.283762241,0.286164284,606.7247829,887,474,0.297468564
440,2014,AL,OAK,OAK,W,2,162,81,88,74,N,Y,N,N,729,5545,1354,253,33,146,586,1104,83,20,49,43,572,524,3.22,7,13,31,4390,1269,147,406,1244,111,150,0.982,Oakland Athletics,O.co Coliseum,2003628,99,97,OAK,OAK,OAK,72408400,686,118,34,2111,0.380703336,0.319620762,0.700324098,1.144646925,0.278469341,667.9725983,922,552,0.309922443
441,2014,NL,PHI,PHI,E,5,162,81,73,89,N,N,N,N,619,5603,1356,251,27,125,443,1306,109,26,55,37,687,619,3.79,2,12,40,4405,1396,134,521,1255,83,133,0.987,Philadelphia Phillies,Citizens Bank Park,2423852,100,101,PHI,PHI,PHI,180944967,584,94,42,2036,0.363376762,0.302052786,0.665429548,1.305561862,0.29246852,605.8160767,953,401,0.293548228
442,2014,NL,PIT,PIT,C,2,162,81,88,74,N,Y,N,N,682,5536,1436,275,30,156,520,1244,104,47,78,35,631,562,3.47,2,7,48,4369,1341,128,499,1228,109,148,0.983,Pittsburgh Pirates,PNC Park,2442564,98,97,PIT,PIT,PIT,77178000,659,127,46,2239,0.404443642,0.329713082,0.734156723,1.263447013,0.306880844,723.164465,975,474,0.322786216
443,2014,NL,SDN,SDP,W,3,162,81,77,85,N,N,N,N,535,5294,1199,224,30,109,468,1294,91,34,41,45,577,523,3.27,4,10,41,4316,1300,117,462,1284,101,124,0.983,San Diego Padres,Petco Park,2195373,91,91,SDP,SDN,SDN,75685700,500,118,27,1810,0.341896487,0.292065663,0.63396215,1.224745134,0.276930894,523.6497744,836,441,0.281709328
444,2014,AL,SEA,SEA,W,3,162,81,87,75,N,N,N,N,634,5450,1328,247,32,136,396,1232,96,42,60,34,554,512,3.17,2,9,51,4356,1240,137,463,1317,82,139,0.986,Seattle Mariners,Safeco Field,2064334,95,95,SEA,SEA,SEA,92531100,600,112,33,2047,0.37559633,0.3003367,0.675933031,1.172865014,0.289601555,603.6654122,913,363,0.297506348
445,2014,NL,SFN,SFG,W,2,162,81,88,74,N,Y,Y,Y,665,5523,1407,257,42,132,427,1245,56,27,43,49,614,564,3.5,8,12,46,4347,1305,133,389,1211,100,155,0.984,San Francisco Giants,AT&T Park,3368697,95,95,SFG,SFN,SFN,163510167,636,113,37,2144,0.388194822,0.310658722,0.698853544,1.169082126,0.303933254,660.8564706,976,390,0.306466278
446,2014,NL,SLN,STL,C,1,162,81,90,72,Y,N,N,N,619,5426,1371,275,21,105,471,1133,57,32,86,39,603,564,3.5,8,23,55,4346,1321,123,470,1221,88,145,0.985,St. Louis Cardinals,Busch Stadium III,3540649,101,100,STL,SLN,SLN,120693000,585,140,28,2003,0.369148544,0.320159415,0.68930796,1.23630925,0.299503194,625.6615228,970,443,0.306082749
447,2014,AL,TBA,TBD,E,4,162,81,77,85,N,N,N,N,612,5516,1361,263,24,117,527,1124,63,27,66,53,625,579,3.56,3,22,37,4391,1292,145,482,1437,88,96,0.985,Tampa Bay Rays,Tropicana Field,1446464,97,97,TBR,TBA,TBA,72689100,586,135,31,2023,0.366751269,0.317104836,0.683856105,1.212024596,0.287430684,632.0410392,957,496,0.303389333
448,2014,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,637,5460,1400,260,28,111,417,1162,105,59,61,45,773,711,4.49,6,17,33,4279,1510,160,505,1110,106,155,0.982,Texas Rangers,Rangers Ballpark in Arlington,2718733,101,101,TEX,TEX,TEX,112255059,597,148,37,2049,0.375274725,0.313889353,0.689164078,1.412713251,0.304584121,633.4920878,1001,380,0.303678103
449,2014,AL,TOR,TOR,E,3,162,81,83,79,N,N,N,N,723,5549,1435,282,24,177,502,1151,78,21,41,40,686,642,4,3,16,45,4329,1400,151,490,1199,87,130,0.985,Toronto Blue Jays,Rogers Centre,2375525,102,102,TOR,TOR,TOR,109920100,690,128,27,2296,0.413768247,0.322570124,0.73633837,1.30977131,0.29523586,734.9780202,952,475,0.323221949
450,2014,NL,WAS,WSN,E,1,162,81,96,66,Y,N,N,N,686,5542,1403,265,27,152,517,1304,101,23,56,41,555,495,3.03,5,19,45,4412,1351,110,352,1288,100,139,0.984,Washington Nationals,Nationals Park,2579389,104,102,WSN,MON,WAS,131983680,635,115,29,2178,0.392998917,0.320987654,0.713986572,1.157978241,0.303125757,690.1732959,959,488,0.315005712
451,2015,NL,ARI,ARI,W,3,162,81,79,83,N,N,N,N,720,5649,1494,289,48,154,490,1312,132,44,33,57,713,659,4.04,1,12,44,4400,1450,182,500,1215,86,146,0.986,Arizona Diamondbacks,Chase Field,2080145,107,106,ARI,ARI,ARI,61834000,680,134,40,2341,0.41440963,0.323807995,0.738217625,1.329545455,0.316037736,756.5636097,1003,450,0.322365487
452,2015,NL,ATL,ATL,E,4,162,81,67,95,N,N,N,N,573,5420,1361,251,18,100,471,1107,69,33,44,31,760,698,4.41,3,10,44,4276,1462,170,550,1148,90,186,0.985,Atlanta Braves,Turner Field,2001392,97,97,ATL,ATL,ATL,71781250,548,148,39,1948,0.359409594,0.314448542,0.673858136,1.411599626,0.297125353,605.7946019,992,432,0.298729543
453,2015,AL,BAL,BAL,E,3,162,78,81,81,N,N,N,N,713,5485,1370,246,20,217,418,1331,44,25,51,32,693,646,4.05,0,10,43,4304,1406,174,483,1233,77,134,0.987,Baltimore Orioles,Oriole Park at Camden Yards,2281202,103,104,BAL,BAL,BAL,115044833,686,127,23,2307,0.420601641,0.307216839,0.72781848,1.316682156,0.290501386,698.7829917,887,395,0.318500755
454,2015,AL,BOS,BOS,E,5,162,81,78,84,N,N,N,N,748,5640,1495,294,33,161,478,1148,71,27,46,42,753,694,4.31,3,10,40,4345,1486,178,478,1218,97,148,0.984,Boston Red Sox,Fenway Park II,2880694,104,107,BOS,BOS,BOS,181103400,706,127,28,2338,0.414539007,0.325330325,0.739869333,1.356041427,0.305053739,753.9839817,1007,450,0.324504694
455,2015,AL,CHA,CHW,C,4,162,81,76,86,N,N,N,N,622,5533,1381,260,27,136,404,1231,68,42,65,37,701,643,3.98,7,9,37,4358,1443,162,474,1359,101,159,0.983,Chicago White Sox,U.S. Cellular Field,1755810,92,93,CHW,CHA,CHA,112373700,595,125,22,2103,0.380083138,0.30634211,0.686425247,1.319642038,0.296216988,632.2814553,958,382,0.302898454
456,2015,NL,CHN,CHC,C,3,162,81,97,65,N,Y,N,N,689,5491,1341,272,30,171,567,1518,95,37,74,35,608,546,3.36,6,21,48,4384,1276,134,407,1431,111,120,0.982,Chicago Cubs,Wrigley Field,2919122,100,100,CHC,CHN,CHN,115879310,657,101,47,2186,0.398105992,0.321388033,0.719494025,1.151687956,0.304925723,688.4925718,868,520,0.316624183
457,2015,NL,CIN,CIN,C,5,162,81,64,98,N,N,N,N,640,5571,1382,257,27,167,496,1255,134,38,42,40,754,700,4.33,2,8,35,4360,1436,177,544,1252,90,131,0.985,Cincinnati Reds,Great American Ball Park,2419506,101,101,CIN,CIN,CIN,113072286,613,112,38,2194,0.393825166,0.312245894,0.70607106,1.362385321,0.290045357,679.1382891,931,458,0.310207822
458,2015,AL,CLE,CLE,C,3,161,80,81,80,N,N,N,N,669,5439,1395,303,29,141,533,1157,86,28,39,50,640,584,3.67,11,10,38,4298,1274,161,425,1407,79,136,0.987,Cleveland Indians,Progressive Field,1388905,106,106,CLE,CLE,CLE,87663766,640,134,34,2179,0.400625115,0.324533905,0.72515902,1.185900419,0.299212598,703.4681849,922,499,0.318709142
459,2015,NL,COL,COL,W,5,162,81,68,94,N,N,N,N,737,5572,1479,274,49,186,388,1283,97,43,33,34,844,799,5.04,4,4,36,4279,1579,183,579,1112,95,171,0.985,Colorado Rockies,Coors Field,2506789,119,118,COL,COL,COL,95688600,702,114,47,2409,0.432340273,0.31524805,0.747588323,1.51297032,0.312545323,754.6313758,970,341,0.324466555
460,2015,AL,DET,DET,C,5,161,81,74,87,N,N,N,N,689,5605,1515,289,49,151,455,1259,83,51,41,35,803,746,4.64,7,12,35,4341,1491,193,489,1100,86,165,0.986,Detroit Tigers,Comerica Park,2726048,97,98,DET,DET,DET,172284750,660,152,36,2355,0.420160571,0.32773794,0.747898511,1.368348307,0.322458629,765.5693069,1026,419,0.327095082
461,2015,AL,HOU,HOU,W,2,162,81,86,76,N,Y,N,N,729,5459,1363,278,26,230,486,1392,121,48,56,43,618,572,3.57,5,13,39,4323,1308,148,423,1280,85,131,0.986,Houston Astros,Minute Maid Park,2153585,97,99,HOU,HOU,HOU,72256200,691,102,22,2383,0.436526836,0.315188617,0.751715453,1.201249133,0.292010309,741.1550883,829,464,0.328208236
462,2015,AL,KCA,KCR,C,1,162,81,95,67,Y,N,Y,Y,724,5575,1497,300,42,139,383,973,104,34,77,47,641,601,3.73,2,8,56,4356,1372,155,489,1160,88,138,0.985,Kansas City Royals,Kauffman Stadium,2708549,104,103,KCR,KCA,KCA,112107025,689,133,28,2298,0.412197309,0.321769155,0.733966464,1.281680441,0.301108647,725.1158107,1016,355,0.321369343
463,2015,AL,LAA,ANA,W,3,162,81,85,77,N,N,N,N,661,5417,1331,243,21,176,435,1150,52,34,58,40,675,630,3.94,2,12,46,4322,1355,166,466,1221,93,108,0.984,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3012765,94,95,LAA,ANA,ANA,120005415,621,116,34,2144,0.395791028,0.306554622,0.70234565,1.263998149,0.279593319,647.0102529,891,401,0.308260649
464,2015,NL,LAN,LAD,W,1,162,81,92,70,Y,N,N,N,667,5385,1346,263,26,187,563,1258,59,34,60,30,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133,0.988,Los Angeles Dodgers,Dodger Stadium,3764815,101,98,LAD,LAN,LAN,215792000,638,135,31,2222,0.412627669,0.326101358,0.738729028,1.18422873,0.291939547,713.1469401,870,532,0.325188946
